V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,Target
-4.464606394,-4.679129032,3.10154567,0.506129956,-0.221082839,-2.032510795,-2.910870003,0.050713636,-1.522350813,3.761891834,-5.714718908,0.735892751,0.981250717,1.417883923,-3.375815457,-3.047302626,0.306194351,2.91409709,2.269979427,4.39487582,-2.388299418,0.646387521,-1.190508059,3.132986183,0.665276612,-2.510845872,-0.03674375,0.726217621,-3.982186944,-1.072637809,1.667098144,3.059699863,-1.690440099,2.846295781,2.235197686,6.667485698,0.44380929,-2.369168594,2.950577921,-3.480324481,0
3.365912267,3.653380599,0.909671423,-1.36752838,0.332016094,2.358938289,0.732600076,-4.332134825,0.565694626,-0.101079839,1.914464657,-0.951458252,-1.25525878,-2.70652219,0.193222727,-4.769379017,-2.205319123,0.907715657,0.75689425,-5.833677847,-3.065121539,1.596647457,-1.757310811,1.766443569,-0.26709797,3.62503552,1.500345518,-0.585712415,0.783034459,-0.201217414,0.024883487,-1.795473762,3.032779878,-2.467514062,1.894599345,-2.297779647,-1.731047955,5.908837003,-0.386345305,0.616241649,0
-3.831842672,-5.824444473,0.634030785,-2.418815139,-1.77382686,1.016823995,-2.098940837,-3.17320359,-2.081859759,5.39262094,-0.770673109,1.106718271,1.144260781,0.943300774,-3.163804446,-4.247824637,-4.03890938,3.688534386,3.3111962,1.05900164,-2.143026051,1.650119564,-1.660591923,1.679910371,-0.450781667,-4.550694961,3.738779058,1.134403964,-2.033531399,0.840839062,-1.600395083,-0.257101475,0.803549514,4.086218767,2.292138003,5.36084972,0.351992609,2.940021424,3.839160119,-4.309401883,0
1.618098333,1.888341868,7.046143458,-1.147284817,0.083080196,-1.529779922,0.20730866,-2.493628842,0.344926241,2.11857792,-3.053022871,0.459718832,2.704527393,-0.636085656,-0.453717317,-3.174046159,-3.40434736,-1.281535719,1.582103801,-1.951778372,-3.51655536,-1.206010542,-5.627854418,-1.817653435,2.124142227,5.294642229,4.748136786,-2.308536126,-3.962977094,-6.028729808,4.948769798,-3.584425339,-2.577474262,1.363768844,0.622713513,5.550099914,-1.526795782,0.138853157,3.101430032,-1.277378133,0
-0.111440068,3.872487574,-3.758360707,-2.982896643,3.792714331,0.544959535,0.205432947,4.848993573,-1.854920327,-6.220022871,1.998347032,4.723756642,0.709112926,-1.989432493,-2.632683741,4.184447277,2.245356303,3.734452372,-6.312765941,-5.379918235,-0.886667328,2.061693736,9.445586089,4.489975967,-3.945143994,4.582065097,-8.780421667,-3.382967129,5.106506811,6.787512799,2.044184135,8.265896402,6.629212852,-10.06868884,1.222986536,-3.229763126,1.68690871,-2.163895541,-3.644621649,6.510338014,0
0.159622801,-4.233781458,-0.264310199,-5.477118711,-0.190854112,-0.356273554,-0.134486143,4.066607844,-3.858569134,1.692441446,0.137900556,3.974718578,0.672853376,1.878144157,0.764158218,4.235912756,-2.129272327,2.348464796,-2.14745391,-0.982376014,0.386345499,1.010636603,3.418654172,0.996017207,0.06057952,-3.0367404,1.78757315,-1.726536518,0.307837403,1.902350213,4.665858049,3.227234673,0.628900433,-1.548859787,1.321978787,5.461345401,1.109410367,-3.869992848,0.273964269,2.805940904,0
-0.184565354,-4.721469645,0.864988318,-3.078694517,-2.226888158,-1.282220053,-0.804717,3.289733259,-1.567970581,0.749904421,0.528830105,3.220563509,2.945183042,1.724073322,-0.92312288,2.53482988,-1.696712784,0.677067991,-0.246087322,2.747677663,-1.165391672,0.24762093,1.160683976,-2.850138979,0.503405383,-3.532215237,1.861242921,-1.465353955,0.873766667,2.418469649,0.939375557,-0.544941249,-0.762920651,0.815557695,1.889372652,3.624347329,1.555740098,-5.432884243,0.678702985,0.464696648,0
1.734839631,1.682945485,-1.26906959,4.600630081,-1.416975073,-2.543915572,0.131648167,-0.1986606,3.094057364,-1.109323817,-1.662363771,0.943805801,3.481044634,0.137054572,-3.472977402,-4.075916764,1.72657091,-1.908617993,3.56924897,2.512190839,-4.578678522,3.062673915,3.686148808,0.610743448,-0.429539169,0.880125837,-0.993851216,1.134221491,-3.767917463,-0.692235745,-5.244396144,1.717473563,-3.83893054,1.569447561,1.794899454,-4.268516996,-0.516195031,-0.619218493,-0.830888557,-4.967265919,1
1.78158331,1.314663883,4.248689596,-0.518293164,-0.149044439,0.033082082,-1.087893418,-3.117560615,0.624934695,1.56745483,-0.415121942,-1.400791902,2.607063263,-1.023518933,-2.877902297,-4.52408033,-4.353951503,0.10685868,1.2986014,-3.595653507,-5.409203606,0.633420575,-3.043435616,0.965268066,-0.266331546,4.670862252,1.846716604,-2.320822092,-1.317705326,-0.681722371,3.280787042,1.611014256,2.951390202,-1.862015879,4.389598157,1.371299576,-2.51623488,0.770496072,0.83113216,-2.310953014,0
-0.894139852,4.011498043,5.251901538,3.320747234,0.727067044,-4.771069876,1.031231734,3.632079649,-1.391443624,-1.966745952,-4.77927252,6.616781385,-0.147814792,-2.513234461,0.734111177,0.474709704,5.085253777,-2.360997831,4.561398211,2.287065293,-2.307023811,-0.948689982,-0.300905571,2.546196611,0.73832012,4.266330181,-4.144925546,-0.012559372,-1.469494615,-2.003483771,1.680064388,-0.635742436,-4.449138575,2.296339881,1.575109522,1.376268113,0.596757119,-1.413652275,0.543871226,0.035019848,0
